[Archivo: OTI SPARTAALTO_04-02-2026.xlsx]

--- Hoja: Hoja1 ---
,                               ORDEN DE TRABAJO INTERNA,,,,,,,,
,,,,,,,Comentario Despacho: ,,
,No llenar numero orden internoNº 000 ,Nombre del Evento:,APERTURA ALC,Fecha:,04/02/2026,,DESPACHO MAURI AM,,
,,Responsable Guinda,SEBASTIAN GOUET,Fecha de entrega:,09/02/2026,,,,
,,Mandante ,CARO BRUNO,,,,,,
Fecha envio,Nombre del Archivo,CANTIDAD,Tamaño (cm),Material,Tiro / Retiro,Terminación,Comentario ítem,Precio unitario,Precio Total
,1_SPEEDO_ADHESIVOLAMINADOGLOSSY_53X14_1 UNIDAD,1,53X14,ADHESIVO LAMINADO GLOSSY,TIRO,RECTA ,,,
,2_ROJOLOGO_40X14_ADHESIVOLAMINADOGLOSSY_1 UNIDAD,1,40X14,ADHESIVO LAMINADO GLOSSY,TIRO,RECTA ,,,
,3_SPEEDO_ADHESIVOLAMINADOGLOSSY_KIDS_18X14_3 UNIDADES,3,18X14,ADHESIVO LAMINADO GLOSSY,TIRO,RECTA ,,,
,"4_SPEEDO_ADHESIVOLAMINADOGLOSSY_29,3X18_ARGOLLA_2_TROQUELADO_1 UNIDAD",1,29X18,ADHESIVO LAMINADO GLOSSY,TIRO,TROQUELADO,,,
,"5_SPEEDO_ADHESIVOLAMINADOGLOSSY_29,3X18_ARGOLLA_1_TROQUELADO_1 UNIDAD",1,29X18,ADHESIVO LAMINADO GLOSSY,TIRO,TROQUELADO,,,
,6_PILARES_150X290_ADHESIVOPERMANENTE_LAMINADOMATTE_1 UNIDAD CADA UNO_2 UNIDADES TOTAL,2,150X290,ADHESIVO PERMANENTE LAMINADO,TIRO,RECTA ,,,
,7_ALZADORES_30X4_ADHESIVOTRANSPARENTEIMPRESO_1 UNIDAD CADA UNO_4 UNIDADES TOTAL,4,30X4,ADHESIVO TRANSPARENTE IMPRESO,TIRO,RECTA ,,,
,8_NB_TRASERA_85X227_MALLA MESH IMPRESA_2 UNIDADES,2,85X227,MALLA MESH IMPRESA,TIRO,RECTA ,,,
,9_NB_MESA_31X31_ADHESIVOMETALIZADO_TROQUELADO_LO NEGRO SALE_10 UNIDADES,10,31X31,ADHESIVO METALIZADO BRUSH PLOTTER, TIRO,TROQUELADO,,,
,10_ALZADOR_NUEVO_30X4_ADHESIVOTRANSPARENTEIMPRESO_7 UNIDADES,7,30X4,ADHESIVO TRANSPARENTE IMPRESO,TIRO,RECTA ,,,
,11_NB_TRASERA_78X280_MALLA MESH_2 UNIDADES,2,78X280,MALLA MESH IMPRESA,TIRO,RECTA ,,,
,12_IMANES_60X60_IMANIMPRESO_1 UNIDAD CADA UNO_2 UNIDADES TOTAL,2,60X60,IMANES IMPRESOS,TIRO,RECTA ,,,
,NOMBRE DE TIENDA,,INSTALACION,fecha de despacho o instlacion,,,Comentarios,Precio unitario,
,,,,,,,Precio total ,,
